timestamp,agent,model,input_tokens,output_tokens,cost_usd,latency_ms
2026-05-14 16:57:54,triagem,groq:llama-3.3-70b-versatile,858,61,0.003489,549
2026-05-14 17:15:27,triagem,groq:llama-3.3-70b-versatile,858,59,0.003459,527
2026-05-14 17:15:32,triagem,groq:llama-3.3-70b-versatile,858,63,0.003519,855
2026-05-14 17:15:34,triagem,groq:llama-3.3-70b-versatile,857,53,0.003366,474
2026-05-14 17:46:33,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,584
2026-05-14 17:46:36,triagem,groq:llama-3.3-70b-versatile,858,61,0.003489,586
2026-05-14 17:46:38,triagem,groq:llama-3.3-70b-versatile,857,55,0.003396,439
2026-05-14 18:17:26,triagem,groq:llama-3.3-70b-versatile,858,59,0.003459,575
2026-05-14 18:17:29,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,633
2026-05-14 18:17:32,triagem,groq:llama-3.3-70b-versatile,858,67,0.003579,601
2026-05-14 18:37:24,triagem,groq:llama-3.3-70b-versatile,858,48,0.003294,503
2026-05-14 18:37:35,triagem,groq:llama-3.3-70b-versatile,858,50,0.003324,7433
2026-05-14 18:37:46,triagem,groq:llama-3.3-70b-versatile,858,61,0.003489,6151
2026-05-14 18:48:39,triagem,groq:llama-3.3-70b-versatile,858,60,0.003474,484
2026-05-14 18:48:45,triagem,groq:llama-3.3-70b-versatile,858,60,0.003474,2191
2026-05-14 18:48:51,triagem,groq:llama-3.3-70b-versatile,858,61,0.003489,982
2026-05-14 19:19:44,triagem,groq:llama-3.3-70b-versatile,858,54,0.003384,550
2026-05-14 19:19:47,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,647
2026-05-14 19:19:50,triagem,groq:llama-3.3-70b-versatile,858,54,0.003384,419
2026-05-14 19:19:54,triagem,groq:llama-3.3-70b-versatile,858,62,0.003504,569
2026-05-14 19:19:57,triagem,groq:llama-3.3-70b-versatile,858,64,0.003534,562
2026-05-14 19:20:01,triagem,groq:llama-3.3-70b-versatile,858,53,0.003369,490
2026-05-14 19:51:06,triagem,groq:llama-3.3-70b-versatile,858,50,0.003324,531
2026-05-14 19:51:09,triagem,groq:llama-3.3-70b-versatile,858,56,0.003414,579
2026-05-14 19:51:13,triagem,groq:llama-3.3-70b-versatile,858,53,0.003369,494
2026-05-14 20:01:47,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,590
2026-05-14 20:01:58,triagem,groq:llama-3.3-70b-versatile,858,76,0.003714,515
2026-05-14 20:02:02,triagem,groq:llama-3.3-70b-versatile,858,54,0.003384,462
2026-05-14 20:22:17,triagem,groq:llama-3.3-70b-versatile,858,54,0.003384,717
2026-05-14 20:22:21,triagem,groq:llama-3.3-70b-versatile,858,54,0.003384,534
2026-05-14 20:22:24,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,420
2026-05-14 20:35:05,triagem,groq:llama-3.3-70b-versatile,858,49,0.003309,466
2026-05-14 20:35:12,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,2210
2026-05-14 20:35:15,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,518
2026-05-14 21:23:18,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,492
2026-05-14 21:23:22,triagem,groq:llama-3.3-70b-versatile,858,56,0.003414,450
2026-05-14 21:23:28,triagem,groq:llama-3.3-70b-versatile,858,54,0.003384,475
2026-05-14 21:36:46,triagem,groq:llama-3.3-70b-versatile,858,49,0.003309,566
2026-05-14 21:36:49,triagem,groq:llama-3.3-70b-versatile,858,69,0.003609,585
2026-05-14 21:36:52,triagem,groq:llama-3.3-70b-versatile,858,65,0.003549,494
2026-05-14 21:59:43,triagem,groq:llama-3.3-70b-versatile,858,63,0.003519,562
2026-05-14 21:59:46,triagem,groq:llama-3.3-70b-versatile,858,54,0.003384,458
2026-05-14 21:59:49,triagem,groq:llama-3.3-70b-versatile,857,61,0.003486,456
2026-05-14 22:29:02,triagem,groq:llama-3.3-70b-versatile,858,55,0.003399,1677
2026-05-14 22:29:05,triagem,groq:llama-3.3-70b-versatile,858,64,0.003534,465
2026-05-14 22:29:09,triagem,groq:llama-3.3-70b-versatile,859,55,0.003402,543
2026-05-15 01:58:40,triagem,groq:llama-3.3-70b-versatile,895,58,0.003555,608
2026-05-15 01:58:42,triagem,groq:llama-3.3-70b-versatile,896,58,0.003558,691
2026-05-15 01:58:44,triagem,groq:llama-3.3-70b-versatile,895,76,0.003825,612
2026-05-15 07:10:43,triagem,groq:llama-3.3-70b-versatile,895,65,0.003660,661
2026-05-15 08:12:02,triagem,groq:llama-3.3-70b-versatile,895,59,0.003570,601
2026-05-15 08:12:05,triagem,groq:llama-3.3-70b-versatile,895,71,0.003750,1091
2026-05-15 08:12:07,triagem,groq:llama-3.3-70b-versatile,895,55,0.003510,670
2026-05-15 08:12:09,triagem,groq:llama-3.3-70b-versatile,895,69,0.003720,656
2026-05-15 08:43:32,triagem,groq:llama-3.3-70b-versatile,895,75,0.003810,841
2026-05-15 08:43:34,triagem,groq:llama-3.3-70b-versatile,895,63,0.003630,442
2026-05-15 08:43:35,triagem,groq:llama-3.3-70b-versatile,895,65,0.003660,488
2026-05-15 08:43:37,triagem,groq:llama-3.3-70b-versatile,844,63,0.003477,490
2026-05-15 08:43:39,triagem,groq:llama-3.3-70b-versatile,895,65,0.003660,756
2026-05-15 09:15:02,triagem,groq:llama-3.3-70b-versatile,895,62,0.003615,748
2026-05-15 09:15:04,triagem,groq:llama-3.3-70b-versatile,895,48,0.003405,480
2026-05-15 09:15:06,triagem,groq:llama-3.3-70b-versatile,895,63,0.003630,491
2026-05-15 09:15:07,triagem,groq:llama-3.3-70b-versatile,844,58,0.003402,525
2026-05-15 09:46:32,triagem,groq:llama-3.3-70b-versatile,895,54,0.003495,471
2026-05-15 09:46:33,triagem,groq:llama-3.3-70b-versatile,895,58,0.003555,520
2026-05-15 09:46:35,triagem,groq:llama-3.3-70b-versatile,895,60,0.003585,488
2026-05-15 09:46:37,triagem,groq:llama-3.3-70b-versatile,895,67,0.003690,895
2026-05-15 09:46:39,triagem,groq:llama-3.3-70b-versatile,894,73,0.003777,567
2026-05-15 09:46:41,triagem,groq:llama-3.3-70b-versatile,895,73,0.003780,608
2026-05-15 09:46:43,triagem,groq:llama-3.3-70b-versatile,895,66,0.003675,866
2026-05-15 10:18:26,triagem,groq:llama-3.3-70b-versatile,895,61,0.003600,583
2026-05-15 10:18:28,triagem,groq:llama-3.3-70b-versatile,895,51,0.003450,494
2026-05-15 10:18:31,triagem,groq:llama-3.3-70b-versatile,894,69,0.003717,1399
2026-05-15 10:18:39,triagem,groq:llama-3.3-70b-versatile,895,56,0.003525,3488
2026-05-15 10:18:41,triagem,groq:llama-3.3-70b-versatile,895,70,0.003735,665
2026-05-15 10:18:43,triagem,groq:llama-3.3-70b-versatile,895,69,0.003720,525
2026-05-15 10:47:12,triagem,groq:llama-3.3-70b-versatile,895,66,0.003675,5601
2026-05-15 10:47:15,triagem,groq:llama-3.3-70b-versatile,895,65,0.003660,866
2026-05-15 10:47:17,triagem,groq:llama-3.3-70b-versatile,896,63,0.003633,1272
2026-05-15 10:47:19,triagem,groq:llama-3.3-70b-versatile,895,63,0.003630,515
2026-05-15 10:47:21,triagem,groq:llama-3.3-70b-versatile,893,60,0.003579,728
2026-05-15 10:47:23,triagem,groq:llama-3.3-70b-versatile,895,60,0.003585,499
2026-05-15 10:47:24,triagem,groq:llama-3.3-70b-versatile,895,51,0.003450,591
2026-05-15 11:21:46,triagem,groq:llama-3.3-70b-versatile,893,54,0.003489,689
2026-05-15 11:21:52,triagem,groq:llama-3.3-70b-versatile,895,60,0.003585,4664
2026-05-15 11:21:55,triagem,groq:llama-3.3-70b-versatile,895,65,0.003660,1263
2026-05-15 11:22:01,triagem,groq:llama-3.3-70b-versatile,895,60,0.003585,4483
2026-05-15 11:22:04,triagem,groq:llama-3.3-70b-versatile,896,55,0.003513,991
2026-05-15 11:22:06,triagem,groq:llama-3.3-70b-versatile,895,71,0.003750,484
2026-05-15 11:22:08,triagem,groq:llama-3.3-70b-versatile,895,62,0.003615,581
2026-05-15 11:53:31,triagem,groq:llama-3.3-70b-versatile,895,60,0.003585,603
2026-05-15 11:53:33,triagem,groq:llama-3.3-70b-versatile,895,71,0.003750,539
2026-05-15 11:53:35,triagem,groq:llama-3.3-70b-versatile,894,67,0.003687,479
2026-05-15 11:53:36,triagem,groq:llama-3.3-70b-versatile,895,61,0.003600,628
