id,timestamp,market,sinal,entry_price,stop_loss,alvo1,alvo2,quantidade,risco_usd,rr_planejado,score_ponderado,qualidade_setup,mentor_veredicto,status,exit_price,exit_timestamp,pnl_usd,pnl_pct,resultado,motivo_saida,erros_execucao,notas,ordem_id,alpha_vs_btc
2026-05-17 12:44:08,DINGOUSDT,0,NONE,G1|G2,G4,2.1691,BEARISH,-17.82,0,1.66574E-05,545980161.98955381,0,,,bloqueado G4,20260517_1244,
2026-05-17 12:44:08,SHICUSDT,0,NONE,G1|G2,G4,4.0463,BULLISH,25.78,0,3.3321E-06,5341453340.9991226,0,,,bloqueado G4,20260517_1244,
2026-05-17 13:01:43,DINGOUSDT,0,NONE,G1|G2,G4,2.1732,BEARISH,-17.82,0,1.66575E-05,547014161.98955381,0,,,bloqueado G4,20260517_1301,
2026-05-17 13:01:44,SHICUSDT,0,NONE,G1|G2,G4,4.0937,BULLISH,28.64,0,3.4077E-06,5403904908.3649836,0,,,bloqueado G4,20260517_1301,
2026-05-17 13:18:56,DINGOUSDT,0,NONE,G1|G2,G4,2.1845,BEARISH,-17.82,0,1.66574E-05,549837131.4328872,0,,,bloqueado G4,20260517_1318,
2026-05-17 13:18:57,SHICUSDT,0,NONE,G1|G2,G4,4.1122,BULLISH,24.53,0,3.2988E-06,5428337630.5229921,0,,,bloqueado G4,20260517_1318,
2026-05-17 13:36:07,DINGOUSDT,0,NONE,G1|G2,G4,2.1963,BEARISH,-18.45,0,1.65295E-05,552831019.62288713,0,,,bloqueado G4,20260517_1336,
2026-05-17 13:36:07,SHICUSDT,0,NONE,G1|G2,G4,4.1588,BULLISH,17.18,0,3.1041E-06,5489868985.3181314,0,,,bloqueado G4,20260517_1336,
2026-05-17 13:53:26,BOBUSDT,0,NONE,G1|G2,G4,2.0214,BULLISH,7.42,0,0.007326,1269098.94783826,0,,,bloqueado G4,20260517_1353,
2026-05-17 13:53:26,DINGOUSDT,0,NONE,G1|G2,G4,2.2002,BEARISH,-18.61,0,1.64984E-05,553802519.62288713,0,,,bloqueado G4,20260517_1353,
2026-05-17 13:53:27,SHICUSDT,0,NONE,G1|G2,G4,4.1824,BULLISH,17.04,0,3.1004E-06,5521007196.9890156,0,,,bloqueado G4,20260517_1353,
2026-05-17 14:11:17,BOBUSDT,0,NONE,G1|G2,G4,2.0345,BULLISH,7.42,0,0.007326,1277351.94783826,0,,,bloqueado G4,20260517_1411,
2026-05-17 14:11:17,DINGOUSDT,0,NONE,G1|G2,G4,2.2099,BEARISH,-17.78,0,1.66661E-05,556236776.78313887,0,,,bloqueado G4,20260517_1411,
2026-05-17 14:11:17,SHICUSDT,0,NONE,G1|G2,G4,4.1981,BULLISH,18.06,0,3.1276E-06,5541752022.777483,0,,,bloqueado G4,20260517_1411,
2026-05-17 14:28:35,BOBUSDT,0,NONE,G1|G2,G4,2.0676,BULLISH,14.38,0,0.007801,1298131.8352562,0,,,bloqueado G4,20260517_1428,
2026-05-17 14:28:36,DINGOUSDT,0,NONE,G1|G2,G4,2.214,BEARISH,-18.35,0,1.65501E-05,557277359.92647231,0,,,bloqueado G4,20260517_1428,
2026-05-17 14:28:36,EDENUSDT,0,NONE,G1|G2,G4,2.0498,BULLISH,69.72,0,0.065548,392355.69316073,0,,,bloqueado G4,20260517_1428,
2026-05-17 14:28:36,SHICUSDT,0,NONE,G1|G2,G4,4.212,BULLISH,19.22,0,3.1583E-06,5560096044.8348265,0,,,bloqueado G4,20260517_1428,
2026-05-17 14:46:15,BOBUSDT,0,NONE,G1|G2,G4,2.3544,BULLISH,19.88,0,0.008176,1478160.77990177,0,,,bloqueado G4,20260517_1446,
2026-05-17 14:46:15,DINGOUSDT,0,NONE,G1|G2,G4,2.2184,BEARISH,-18.35,0,1.65501E-05,558393369.12694883,0,,,bloqueado G4,20260517_1446,
2026-05-17 14:46:15,EDENUSDT,0,NONE,G1|G2,G4,2.1218,BULLISH,50.34,0,0.058063,406141.37759336,0,,,bloqueado G4,20260517_1446,
2026-05-17 14:46:16,SHICUSDT,0,NONE,G1|G2,G4,4.2266,BULLISH,18.03,0,3.1267E-06,5579431454.6674538,0,,,bloqueado G4,20260517_1446,
2026-05-17 15:04:02,BOBUSDT,0,NONE,G1|G2,G4,2.7502,BULLISH,12.8,0,0.007693,1726647.32229049,0,,,bloqueado G4,20260517_1504,
2026-05-17 15:04:02,DINGOUSDT,0,NONE,G1|G2,G4,2.228,BEARISH,-18.35,0,1.65501E-05,560793044.270132,0,,,bloqueado G4,20260517_1504,
2026-05-17 15:04:02,EDENUSDT,0,NONE,G1|G2,G4,2.2272,BULLISH,43.64,0,0.055477,426319.41238765,0,,,bloqueado G4,20260517_1504,
2026-05-17 15:04:03,SHICUSDT,0,NONE,G1|G2,G4,4.2384,BULLISH,18.03,0,3.1267E-06,5594931811.0193806,0,,,bloqueado G4,20260517_1504,
2026-05-17 15:22:04,BOBUSDT,0,NONE,G1|G2,G4,2.8047,BULLISH,14.16,0,0.007786,1760895.67538516,0,,,bloqueado G4,20260517_1522,
2026-05-17 15:22:04,DINGOUSDT,0,NONE,G1|G2,G4,2.2596,BEARISH,-18.35,0,1.65501E-05,568756903.40913069,0,,,bloqueado G4,20260517_1522,
2026-05-17 15:22:04,EDENUSDT,0,NONE,G1|G2,G4,2.2724,BULLISH,38.66,0,0.053553,434965.15804544,0,,,bloqueado G4,20260517_1522,
2026-05-17 15:22:04,SHICUSDT,0,NONE,G1|G2,G4,4.4661,BULLISH,6.19,0,2.8132E-06,5895495900.07588,0,,,bloqueado G4,20260517_1522,
2026-05-17 15:39:52,BOBUSDT,0,NONE,G1|G2,G4,2.8737,BULLISH,11.14,0,0.007625,1804207.11383437,0,,,bloqueado G4,20260517_1539,
2026-05-17 15:39:53,DINGOUSDT,0,NONE,G1|G2,G4,2.2658,BEARISH,-18.35,0,1.655E-05,570321731.203062,0,,,bloqueado G4,20260517_1539,
2026-05-17 15:39:53,EDENUSDT,0,NONE,G1|G2,G4,2.3162,BULLISH,44.09,0,0.05565,443345.90452756,0,,,bloqueado G4,20260517_1539,
2026-05-17 15:39:53,SHICUSDT,0,NONE,G1|G2,G4,4.5108,NEUTRAL,3.3,0,2.7365E-06,5954513445.4023542,0,,,bloqueado G4,20260517_1539,
2026-05-17 15:57:38,BOBUSDT,0,NONE,G1|G2,G4,3.0377,BULLISH,11.13,0,0.007579,1907156.66047359,0,,,bloqueado G4,20260517_1557,
2026-05-17 15:57:38,DINGOUSDT,0,NONE,G1|G2,G4,2.2709,BEARISH,-18.35,0,1.655E-05,571601655.039239,0,,,bloqueado G4,20260517_1557,
2026-05-17 15:57:38,EDENUSDT,0,NONE,G1|G2,G4,2.4373,BULLISH,49.95,0,0.057911,466534.84260387,0,,,bloqueado G4,20260517_1557,
2026-05-17 15:57:39,SHICUSDT,0,NONE,G1|G2,G4,4.5499,NEUTRAL,2.26,0,2.709E-06,6006214523.315815,0,,,bloqueado G4,20260517_1557,
2026-05-17 16:15:37,BOBUSDT,0,NONE,G1|G2,G4,3.0597,BULLISH,12.26,0,0.007656,1920962.66047359,0,,,bloqueado G4,20260517_1615,
2026-05-17 16:15:37,DINGOUSDT,0,NONE,G1|G2,G4,2.2799,BEARISH,-17.9,0,1.66422E-05,573867432.81923914,0,,,bloqueado G4,20260517_1615,
2026-05-17 16:15:38,EDENUSDT,0,NONE,G1|G2,G4,2.7036,BULLISH,45.9,0,0.056349,517500.20842613,0,,,bloqueado G4,20260517_1615,
2026-05-17 16:15:38,SHICUSDT,0,NONE,G1|G2,G4,4.6484,BULLISH,9.69,0,2.9058E-06,6136147756.7285624,0,,,bloqueado G4,20260517_1615,
2026-05-17 16:33:47,BOBUSDT,0,NONE,G1|G2,G4,3.1025,BULLISH,10.82,0,0.007558,1947869.61284646,0,,,bloqueado G4,20260517_1633,
2026-05-17 16:33:48,DINGOUSDT,0,NONE,G1|G2,G4,2.288,BEARISH,-18.6,0,1.65001E-05,575890036.79458439,0,,,bloqueado G4,20260517_1633,
2026-05-17 16:33:48,EDENUSDT,0,NONE,G1|G2,G4,2.9465,BULLISH,44.61,0,0.05585,563993.2482684,0,,,bloqueado G4,20260517_1633,
2026-05-17 16:33:48,SHICUSDT,0,NONE,G1|G2,G4,4.6651,BULLISH,9.21,0,2.8932E-06,6158256877.0068569,0,,,bloqueado G4,20260517_1633,
2026-05-17 16:52:15,BOBUSDT,0,NONE,G1|G2,G4,3.1161,BULLISH,8.93,0,0.007429,1956395.0654726,0,,,bloqueado G4,20260517_1652,
2026-05-17 16:52:15,DINGOUSDT,0,NONE,G1|G2,G4,2.3573,BEARISH,-16.5,0,1.6925E-05,593335596.9310075,0,,,bloqueado G4,20260517_1652,
2026-05-17 16:52:16,EDENUSDT,0,NONE,G1|G2,G4,3.1257,BULLISH,44.27,0,0.05572,598297.41491822,0,,,bloqueado G4,20260517_1652,
2026-05-17 16:52:16,SHICUSDT,0,NONE,G1|G2,G4,4.7418,NEUTRAL,2.82,0,2.7237E-06,6259505541.0378017,0,,,bloqueado G4,20260517_1652,
2026-05-17 17:10:42,BOBUSDT,0,NONE,G1|G2,G4,3.1889,BULLISH,11.42,0,0.007599,2002124.67089731,0,,,bloqueado G4,20260517_1710,
2026-05-17 17:10:43,DINGOUSDT,0,NONE,G1|G2,G4,2.3613,BEARISH,-16.86,0,1.68518E-05,594350096.9310075,0,,,bloqueado G4,20260517_1710,
2026-05-17 17:10:43,EDENUSDT,0,NONE,G1|G2,G4,3.1376,BULLISH,41.76,0,0.054751,600583.07911014,0,,,bloqueado G4,20260517_1710,
2026-05-17 17:10:43,SHICUSDT,0,NONE,G1|G2,G4,4.7583,NEUTRAL,3.85,0,2.7512E-06,6281222427.8202515,0,,,bloqueado G4,20260517_1710,
2026-05-17 17:42:55,BOBUSDT,0,NONE,G1|G2,G4,3.2509,BULLISH,13.17,0,0.007718,2041046.39036271,0,,,bloqueado G4,20260517_1742,
2026-05-17 17:42:55,DINGOUSDT,0,NONE,G1|G2,G4,2.405,BEARISH,-14.62,0,1.73065E-05,605352105.6850487,0,,,bloqueado G4,20260517_1742,
2026-05-17 17:42:56,EDENUSDT,0,NONE,G1|G2,G4,3.4823,BULLISH,39.18,0,0.053753,666558.95564343,0,,,bloqueado G4,20260517_1742,
2026-05-17 17:42:56,SHICUSDT,0,NONE,G1|G2,G4,4.8386,BULLISH,10.94,0,2.9388E-06,6387234644.0576668,0,,,bloqueado G4,20260517_1742,
2026-05-17 18:15:29,BOBUSDT,0,NONE,G1|G2,G4,3.4608,BULLISH,24.03,0,0.008459,2172788.86793392,0,,,bloqueado G4,20260517_1815,
2026-05-17 18:15:29,DINGOUSDT,0,NONE,G1|G2,G4,2.4427,BEARISH,-14.35,0,1.7361E-05,614830303.38898969,0,,,bloqueado G4,20260517_1815,
2026-05-17 18:15:30,EDENUSDT,0,NONE,G1|G2,G4,3.5402,BULLISH,37.39,0,0.05306,677639.99355755,0,,,bloqueado G4,20260517_1815,
2026-05-17 18:15:30,SHICUSDT,0,NONE,G1|G2,G4,4.8938,BULLISH,10.94,0,2.9388E-06,6460143754.1392727,0,,,bloqueado G4,20260517_1815,
2026-05-17 18:48:14,BOBUSDT,0,NONE,G1|G2,G4,3.6046,BULLISH,24.41,0,0.008829,2263079.88871295,0,,,bloqueado G4,20260517_1848,
2026-05-17 18:48:14,DINGOUSDT,0,NONE,G1|G2,G4,2.4672,BEARISH,-13.53,0,1.75268E-05,620999067.39122093,0,,,bloqueado G4,20260517_1848,
2026-05-17 18:48:17,MOLTUSDT,0,NONE,G1|G2,G4,2.0134,NEUTRAL,-1.77,0,1.884E-05,824501111.62239456,0,,,bloqueado G4,20260517_1848,
2026-05-17 18:48:19,EDENUSDT,0,NONE,G1|G2,G4,3.5564,BULLISH,39.69,0,0.053951,680747.14891143,0,,,bloqueado G4,20260517_1848,
2026-05-17 18:48:19,SHICUSDT,0,NONE,G1|G2,G4,4.9493,BULLISH,5.76,0,2.8016E-06,6533429848.0315866,0,,,bloqueado G4,20260517_1848,
2026-05-17 19:21:24,BOBUSDT,0,NONE,G1|G2,G4,3.6884,BULLISH,23.53,0,0.008425,2315725.03931215,0,,,bloqueado G4,20260517_1921,
2026-05-17 19:21:24,DINGOUSDT,0,NONE,G1|G2,G4,2.4822,BEARISH,-13.34,0,1.7566E-05,624786725.361221,0,,,bloqueado G4,20260517_1921,
2026-05-17 19:21:24,MOLTUSDT,0,NONE,G1|G2,G4,2.0226,NEUTRAL,-1.62,0,1.887E-05,828271111.62239456,0,,,bloqueado G4,20260517_1921,
2026-05-17 19:21:25,EDENUSDT,0,NONE,G1|G2,G4,3.6179,BULLISH,34.12,0,0.0518,692522.49923975,0,,,bloqueado G4,20260517_1921,
2026-05-17 19:21:25,SHICUSDT,0,NONE,G1|G2,G4,5.0832,BULLISH,6.82,0,2.8299E-06,6710123457.1275034,0,,,bloqueado G4,20260517_1921,
